Job Title,Department,Service Area,Earnings,meta_row_index,meta_row_id
"DIR, ECONOMIC SUSTAINABILITY",Economic Health Office,Sustainability Services,121020.88,89,dbf28dfb57df6f1d894a4b76e87e0f963b8de8ff
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,120926.98,90,9a9b9b27f42893463b054e98eea15fce981123a3
CHIEF JUDGE,Municipal Court,Judicial Services,120606.85,91,0d0745d27988b0d5b84f6d09fa6cec26ddcf5d2a
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,120589.15,92,273ea1ec266a1d73a2ce18c351a5a60150269181
POLICE SERGEANT,Community and Special Services,Police Services,120252.77,93,6e3d836e2f424d250913354683c4be5eb5a20fbf
CITY ENGINEER,Engineering,"Planning, Dev & Transportation",120015.14,94,9dcf4bd7afff0cdc9f4e045cbfc27fd22ab30574
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,119887.25,95,7d0dbe2b03b215fd5e35233dc6a2a97b9f69f1de
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,119456.37,96,78ac9f679bf08c893769f3f40cb2e48b99ec3fc0
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,119442.20,97,53b99f7073c841840691208f03058c9513c52367
FIREFIGHTR DRIVER/OP-56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,119435.85,98,829a553fb4a6865db3a42774a10a82e47960e2dc
POLICE SERGEANT,Patrol,Police Services,119401.82,99,a587bdb4103008ef0e3f297738cfe541e6822e6e
POLICE SERGEANT,Patrol,Police Services,119286.08,100,79693eabf83ec707e5b1c4be950db9b156e669c7
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,119089.90,101,f6bc07b26cb4e5c7be45659da9731f29c9c9a61e
"DIRECTOR, CIVIL ENGINEERING",Ut Water UTL Engineering Div,Utility Services,118985.49,102,05b3d380ab0aa860d1c7981ae526a168f922bd03
"DIRECTOR, PURCHASING",Purchasing,Financial Services,118565.11,103,029c0c368a7f8af154eed38e31f6a458ed74f88d
"DIRECTOR, CIVIL ENGINEERING",Ut Water Systems Engr Div,Utility Services,118499.37,104,6cc505cb79b9aacb53c7a85a01d270274a10f88a
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,118495.49,105,8666ad3446c576101bd605be94ff94c12b57493f
POLICE SERGEANT,Patrol,Police Services,118393.25,106,8dc49572b3ec363a23ed5e05addcaae375ed81c7
"DIRECTOR, ACCOUNTING",Accounting and Treasury,Financial Services,118331.60,107,ec564a593c1026c6b3520348fb82773b0cf73d63
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,118067.09,108,32bca134a722db265f48dd5df5afc375863d9eb0
CITY TRAFFIC ENGINEER,Traffic,"Planning, Dev & Transportation",117918.23,109,550d1b1752a7fe594934d5f4506e305c0ce8e03e
POLICE OFFICER,Investigations,Police Services,117621.34,110,e4000fefd1ac4ebfeed3291999ab8113fbc5ef28
POLICE SERGEANT,Investigations,Police Services,117604.42,111,6f98fae36a8dfd9d152c84db8cde643dae9cbc87
POLICE SERGEANT,Community and Special Services,Police Services,117306.99,112,5658260919ab9ead9266d06b870214872908e1ab
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,117106.56,113,1d987883cba26a8fa9c3f0d0d7036ad01567b4ea
ASSISTANT CITY ATTORNEY II,City Attorney's Office,Legal Services,116967.50,114,b76360ff1a1932c78141a477a6fa499eb6e2b350
POLICE SERGEANT,Patrol,Police Services,116911.56,115,1e60ea4f835830cce5578db764d244d7b5bc4aac
"SR ADMINISTRATOR, DATABASE",Information Technology,Information & Employee Svcs,116785.50,116,7607861223983095beee8e8bad2d794035466a9f
POLICE SERGEANT,Community and Special Services,Police Services,115762.49,117,aac3561ec27c950f0d57bfc8cc1f0e63fc86aaca
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,115564.17,118,793433051c897abb1b7a44599ac30b235a5a888c
POLICE OFFICER,Community and Special Services,Police Services,115041.27,119,2dfa4b83474e06215b278983d64c3e7da341a28c
"DIRECTOR, PLANT OPERATIONS",Ut Wtr Reclama & Biosolids Div,Utility Services,114688.03,120,aad38bb61261ca96ff4271f583b57396d360e648
FIRE INSPECT COORD - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,114547.70,121,55418d60fcad0c0ef76e05c2aaba0d269d9fe60f
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,114479.39,122,52f2ec38f8c0a2b9241da1103a5f01967358bf1d
TRAINING CAPTAIN - 40 HR/WK,Poudre Fire Authority,Poudre Fire Authority,114393.03,123,b0b34df39b64cba4ada5095f42d41fb8b3c34ba4
"DIR, ENVIRON SUSTAINABILITY",Environmental Services,Sustainability Services,114385.85,124,8d42a9cb7cbb6f4e45586b3263fe7d35ac99aead
