Job Title,Department,Service Area,Earnings,meta_row_index,meta_row_id
UTILITY WORKER/ PARKS,Parks,Community Services,26282.50,1867,884d22cf113edcfe45919089b7ba1578c4e87cd5
"OPERATOR I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",26229.23,1868,6cba9dd94aa4c27a45f03a70bb2d49e13ed48292
LIBRARY ASSISTANT,Library District,Library District,26180.00,1869,78374ce782885798192f08126c663e38a1f0fb86
"OPERATOR I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",26152.75,1870,5a51ed062d732def1151a1f6a6764456271a82c4
"TECHNICIAN I, PARKS",Parks,Community Services,26140.96,1871,57aa59f066cbe1ecb00d33aeb42879d289c54f82
"SR COORDINATOR, MARKETING",Utilities Customer Connections,Utility Services,26112.18,1872,f44034bede7071024ba2609a79b0a7c6d1107310
UTILITY WORKER/ PARKS,Parks,Community Services,26092.38,1873,04c1ba1d1605a2dd1cb41b65533b25a31030fb05
FACILITY/EVENT SUPERVISOR,Cultural Services,Community Services,26092.38,1874,a4852d13c46a261d162aa693577d2561e4ede863
"OPERATOR I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",25979.82,1875,d455d4560949f43e4aafeafb03037e9b55662bf0
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",25963.89,1876,01864669eb959b3ee8615f64f565daab62242a70
PULSE POINT PROJECT MANAGER,Poudre Fire Authority,Poudre Fire Authority,25915.48,1877,e3e92a0d0f3371b91e2862f4bd9619f154bd2edf
"TECH II, PROCESSING SUPPORT",Police Information Services,Police Services,25859.82,1878,23e5e0883ce28c2a9e57dc68fbafd03626518e3f
FLAGGER,Streets,"Planning, Dev & Transportation",25842.18,1879,5436fd110136f2ac49b6b8c248c8d623397cda7d
FIREFIGHTR DRIVER/OP-56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,25619.10,1880,d5393df0561358d42157bbdc8376dcf309598aef
CAMERA RADAR OPERATOR,Community and Special Services,Police Services,25603.70,1881,5ff5ee66af989bf24694c2c93dbe5cf4eaad7f39
"CREW CHIEF, TRANSPORTATION OPS",Streets,"Planning, Dev & Transportation",25499.71,1882,c2db7a7dda70ccf81b2bf7e19b9f4e5c4c0ec63f
FACILITY MAINTENANCE TECH,Library District,Library District,25470.00,1883,517a5481714c91a047793c121b8d6c5b42ce7efb
FIRE SUPPRESSION INSPECTOR,Poudre Fire Authority,Poudre Fire Authority,25409.52,1884,95c961ade4cad51f40c4b4c516d7f720b8aaadf0
SAFE ROUTES TO SCHOOL ASST,FC Moves,"Planning, Dev & Transportation",25356.00,1885,fd952f2720ac2c7639a673d32bbfef2fdd941c6d
"SR COORDINATOR, CITY PLANNING",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",25340.85,1886,7238f622e8391f32a62124ca637d93bb0e5aed77
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",25325.11,1887,cce8d75138378cfd94e7b26d2770b26b480d9e5c
ADMINISTRATIVE CLERK II,Operation Services,Information & Employee Svcs,25231.30,1888,23b572598a5e98eb4c259503f77c6e088764b144
MECHANIC,Operation Services,Information & Employee Svcs,25202.51,1889,effb83730dbe3039164540d04078ed130cee486e
LIBRARY ASSISTANT,Library District,Library District,25159.08,1890,d7d1ed5ff8de2f2471d63e459008f1eacfa5da58
ADMINISTRATIVE ASSISTANT,Economic Health Office,Sustainability Services,25144.25,1891,182f6690c3ce3eadd2a27b794e8ae3ad1d9c11f1
"TECHNICIAN I, PARKS",Parks,Community Services,24964.01,1892,90e7be32e7391cfac8db591d37c34911f10eb2ef
"SR INSPECTOR, CONSTRUCTION",Streets,"Planning, Dev & Transportation",24902.38,1893,dd634b03ed10ed8c130b0470ac100790daf586e2
UTILITY WORKER / WATER,Ut Water Production Div,Utility Services,24868.83,1894,97fa1aa01465501a7e8585fc5a9ec9be648736cf
CAMERA RADAR OPERATOR,Community and Special Services,Police Services,24811.50,1895,e9d85f78aba93811df408c9642ded1a9d9ace200
TRANSPORTATION MAINT WORKER,Transfort / Parking Services,"Planning, Dev & Transportation",24808.88,1896,1be5c63a1e40d84a5253f52326e2e98aea9206dc
PUBLICITY MARKETING TECH,Comm. & Public Involvement,Information & Employee Svcs,24758.53,1897,899a3628352bfd3c3dc854f8d64f08524bdca46d
"OPERATOR I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",24714.82,1898,3833632e9120052ee96e129f925a0ad74eb242e5
CIVIL ENGINEER III,Ut Water Systems Engr Div,Utility Services,24708.80,1899,2fc77dea04a6d5d014cab5130986467590ebc0e6
EMERGENCY COMMUN DISPATCHER,Police Information Services,Police Services,24663.04,1900,662222175ec8bdde2a7e69e3781453c9ef87ee54
COURT CLERK,Municipal Court,Judicial Services,24656.32,1901,092c976a1b8c7a2c4807bd566a2bd84c5e5c03f8
"REP II, POLICE RECORDS",Police Information Services,Police Services,24645.21,1902,ea2388783b299ef20c2e912a4b97c765c677fe3f
LEGAL ASSISTANT,City Attorney's Office,Legal Services,24637.27,1903,535dbfbd51375ad370110910211d30cad63162ad
FIRE SAFETY INSPECTOR,Poudre Fire Authority,Poudre Fire Authority,24512.14,1904,6baecffba3aea92bdfc08666f293dc0191bad3b7
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",24484.72,1905,a8a2ec35db3b662c479ee506813deae1dde883d6
"INSPECTOR, CODE COMPLIANCE",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",24365.34,1906,099ea448125adddf8e9490ef1f1dbabec4ea4161
LAB ASSISTANT,Ut Water Quality Services Div,Utility Services,24355.68,1907,63d60ecb0a635912567cd5529bd615c4d9fcd0c4
ASST CIRCULATION SUPERVISOR,Library District,Library District,24332.08,1908,abb7816f2a1eb9ee505a09ee87c82df137784dff
LINE GROUNDWORKER/HOURLY,Electric Field Services,Utility Services,24328.50,1909,de9fd77ffd607484dfab28c53d467d7808417236
BUSINESS SUPPORT I,Cultural Services,Community Services,24319.29,1910,86754822f46244d02900d7957a2dcf0af7b30f02
UTILITY WORKER/ PARKS,Parks,Community Services,24314.75,1911,6affbb6e71c124590f55dd17ed233c1a4815d256
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",24147.50,1912,e780bf4684faa06f008dd133d5dd230f52489064
PUBLICITY MARKETING TECH,Transfort / Parking Services,"Planning, Dev & Transportation",24137.99,1913,a9ac7a40da18ac70f712651154c54be33d0420d4
"SR COORDINATOR, SAFETY",Streets,"Planning, Dev & Transportation",24137.78,1914,52d2704c318433d77888ee0c9808ea04881d88ca
LAB ASSISTANT,Ut Water Quality Services Div,Utility Services,24135.22,1915,ff12d7240d07455a5db932163997c6349ffff3dd
UTILITY WORKER- STRTS/TRAFFIC,Streets,"Planning, Dev & Transportation",24117.62,1916,baf3063c1ed5ed7a81db60bb8baa76647b5185fd
CLERICAL AIDE,Investigations,Police Services,24080.00,1917,bcf018c40b01d8ae53e8f73b93177a8dc9e564e7
COURT SECURITY OFFICER,Municipal Court,Judicial Services,24026.54,1918,c8e3e8ccf95466e44e5f7a06be039c98b8e21800
"SPECIALIST, PUBLIC ENGAGEMENT",Natural Areas,Community Services,23932.22,1919,5f8b65d0cfc8559cf205a901e6e191d9003f1bf1
ANSWER CENTER TECHNICIAN,Library District,Library District,23849.81,1920,7b869d742d085ef41914bf5d0a77cbba433530db
"REP I, CUSTOMER SUPPORT",Cultural Services,Community Services,23825.71,1921,076f21da7233ef4fa5d18047f706383d45434b1a
"OPERATOR I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",23811.80,1922,f55258acb9095ce3b41984486772a3bd5117ccb5
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",23811.44,1923,398c1d4c3bf39a69fbeb2d5e3ecb5b2f73922362
ASST CIRCULATION SUPERVISOR,Library District,Library District,23809.71,1924,afb4120cae866dbde2799437561cc0cc28bdb571
"TECHNICIAN I, PARKS",Cultural Services,Community Services,23792.62,1925,91d6c14f01f869ac7b5d999d2ae44e086bcc7555
UTILITY WORKER/ PARKS,Parks,Community Services,23761.88,1926,7d4b35fc921f6642504256a4a401edf4b08551b8
UTILITY WORKER/ PARKS,Parks,Community Services,23632.25,1927,ecd986dac10731f230861f9f83b2cf9faef83d34
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",23525.60,1928,e0cff46a27c72e7bd517ec1736224ec1a659fdde
LIBRARY ASSISTANT - HOURLY,Library District,Library District,23480.83,1929,3faff908cb1456739b48de8d328101ab7eaa50ed
ASST CIRCULATION SUPERVISOR,Library District,Library District,23415.97,1930,389f348e1804f3ff659a354a634924aef356114d
"SR COORDINATOR, CITY PLANNING",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",23402.60,1931,e3fb6a878f2039ee0b0c7ae9ee07645dfea0d0a2
"OPERATOR I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",23393.58,1932,a51230c98cbe6b9974b2ef8b87e8b837f2e807f6
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",23352.06,1933,5966fca2043bd9d37758579b38b3f96ccb91ed91
"SR COORDINATOR, PUBLIC ENGAGE",Cultural Services,Community Services,23287.50,1934,377687e4862df47df08adaf60e39164fcf4439e6
"OPERATOR II, TRANSPORTATION OP",Streets,"Planning, Dev & Transportation",23259.00,1935,b55a2dce911c279990c97176a807683944e8e480
"OPERATOR I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",23210.72,1936,d05ad6d677da831115cefb61986cd9506a675e55
LIBRARIAN - JOBS AND CAREERS,Library District,Library District,23183.91,1937,928fc52ab3e22e1e46f89fd4438757de5c857fde
ASST CIRCULATION SUPERVISOR,Library District,Library District,23159.74,1938,70109f9353f9f254a59014d8cdf1432c17bd47cf
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,23155.00,1939,90ec8819909b0219f41a4ed14fd72826b9f44e17
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",23102.60,1940,3ee40bb6c7dbad7310b6c44acec4dc264a80ab6c
EXECUTIVE ADMIN ASSISTANT,City Manager's Office,Executive Services,23065.49,1941,d49630074bc47e3016ab18303d397ccadee42be9
UTILITY WORKER/ WATER,Ut Water Production Div,Utility Services,23001.27,1942,3e926303e528daafff2f8246b3f570cf1b7b1b28
SR TECHNICAL PROJECT MANAGER,Ut Electric Systems Eng Div,Utility Services,22993.11,1943,8a807f35c4f0a56af68fec7ffba952cb77fd4ca0
POLICE OFFICER,Patrol,Police Services,22923.86,1944,c5ae11732f341ab407682cf7b2222a5496b13154
POLICE OFFICER,Patrol,Police Services,22908.86,1945,fd2467117b3b77d2d7bfd0f886d8f56e57cb29df
POLICE OFFICER,Patrol,Police Services,22908.86,1946,fd2467117b3b77d2d7bfd0f886d8f56e57cb29df
POLICE OFFICER,Patrol,Police Services,22908.86,1947,fd2467117b3b77d2d7bfd0f886d8f56e57cb29df
POLICE OFFICER,Patrol,Police Services,22908.86,1948,fd2467117b3b77d2d7bfd0f886d8f56e57cb29df
POLICE OFFICER,Patrol,Police Services,22908.86,1949,fd2467117b3b77d2d7bfd0f886d8f56e57cb29df
SR TECHNICAL PROJECT MANAGER,Ut Electric Systems Eng Div,Utility Services,22870.75,1950,1e251120eccd73eb45b50eb504c928293f955e8f
POTTERY STUDIO LEADER,Recreation,Community Services,22844.13,1951,13ddedd1705cf89fee5922b5ce513d34224ba1d2
BUS FUELER,Operation Services,Information & Employee Svcs,22800.00,1952,530b7d18a918bf8633311bfe54361e2c47ccc0ef
"OPERATOR I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",22768.49,1953,4b880b570a9e9850e16a0ec901c148a4a7f4f0a9
ASST CIRCULATION SUPERVISOR,Library District,Library District,22691.63,1954,0fa6217a28e633750a06a5ea1dc42af70cce2f18
ASST CIRCULATION SUPERVISOR,Library District,Library District,22555.44,1955,e7f79d626cf8d21df56fb9252781b383017179e7
"TECHNICIAN I, PARKS",Cultural Services,Community Services,22500.01,1956,9a1305a8895b651bf9cb0edda732b3c80e3b5212
EXECUTIVE ADMIN ASSISTANT,City Manager's Office,Executive Services,22416.13,1957,0f24818cd4929e601a2913c4f331a9e7875b390e
CLERICAL AIDE,Poudre Fire Authority,Poudre Fire Authority,22395.54,1958,2637d0919b38cdd414bd4e35dcc38c6ec7a71d14
ADMINISTRATIVE SECRETARY II,Poudre Fire Authority,Poudre Fire Authority,22104.49,1959,ca7ec9822d6b5621a10ee378e2d48ce9a306c1c6
UTILITY WORKER/ PARKS,Parks,Community Services,22057.41,1960,673c0144a045bf3e2f49b3c0e952c8d1ba54d242
EDUCATION SPECIALIST,Natural Areas,Community Services,22020.20,1961,7bfc5afeb7192eec98a4ce15183a2aaab7198dad
ASST CIRCULATION SUPERVISOR,Library District,Library District,21997.14,1962,613417aecf0b6038247cd0cacd6ef1f1a9507a20
PARTS RUNNER,Operation Services,Information & Employee Svcs,21980.54,1963,a8477f94a6a0d75584fd1d5085ab7894d504337d
ASST CIRCULATION SUPERVISOR,Library District,Library District,21971.05,1964,cbe86b4391472ea21bbcf00ee6621821f9b1c40d
"COORDINATOR, AR / BILLING",Utilities Customer Connections,Utility Services,21939.40,1965,90cfa69a8a721e6131737f32b1411421ce297137
CUSTOMER SERVICE CLERK,Transfort / Parking Services,"Planning, Dev & Transportation",21936.84,1966,f71ae573108dd26f4a32f79ae90a2a06eac1d801
UTILITY WORKER/ PARKS,Parks,Community Services,21921.65,1967,6390d13d2f66a971bbb72ea3861826e090231ead
VIDEO PRODUCER,Comm. & Public Involvement,Information & Employee Svcs,21850.00,1968,3e7b5163ceb73e2c57530b12e90781f4601ecf33
DEPUTY COURT CLERK I,Municipal Court,Judicial Services,21791.34,1969,e3a78bf53216ba10b8fb5b1b4a81022a2a7aa050
"OPERATOR I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",21779.27,1970,ab44a1e06a2991055f7bc942699b5f9a5a9910c5
"OPERATOR I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",21773.71,1971,85f659903382fdfa409b5887a00879247631cd55
ASST CIRCULATION SUPERVISOR,Library District,Library District,21712.02,1972,23d82f3b013641c9afd48858ca1270e8e3e56250
FIGURE AND FREESTYLE COACH,Recreation,Community Services,21644.28,1973,e5cf473b687b0ea7972be12b46c0ec2b439a8e72
UTILITY WORKER/ PARKS,Parks,Community Services,21593.05,1974,25f33f08ad588cda36625575f20cf83ef6f15f86
ASST CIRCULATION SUPERVISOR,Library District,Library District,21569.53,1975,a75733d486548119cb8a1dfca190e261f6d7f9b5
"SR COORDINATOR, SAFETY",Streets,"Planning, Dev & Transportation",21518.66,1976,fa95eba899113956aaf823c93956ac35e69ad17b
"OPERATOR I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",21431.35,1977,451f6b17f9869a5a4a3e17b23273b6cb7ca61169
"OPERATOR I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",21402.38,1978,d7008477041236eef6c0fd5220c0bfc92bac8d4f
CIVIL ENGINEER I,Engineering,"Planning, Dev & Transportation",21354.93,1979,87600e8241566f7618bb374f7b261283af4b3728
"TECHNICIAN I, PARKS",Parks,Community Services,21276.95,1980,e33063a24be0d05d14612e802fa8ecbe65c041e9
POLICE OFFICER,Investigations,Police Services,21245.99,1981,3ab8f2827bdc545104e8fcc41a862b1a8dbc229f
ADMINISTRATIVE CLERK I,Accounting and Treasury,Financial Services,21070.33,1982,684e7ead1994ac5bdb6379c2d916f692fc0708c7
"OPERATOR I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",20990.96,1983,b5bb60e50f252127ed42098bb647d8fcb76538ae
EQUIPMENT OPER- STRTS/TRAFFIC,Streets,"Planning, Dev & Transportation",20990.00,1984,0940f7d30afa580b0c09392d160581905191f374
FIREFIGHTER INTRO - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,20974.83,1985,95b7b766007b5e839bc0e27fd680f8690b721d8c
EQUIPMENT OPER- STRTS/TRAFFIC,Streets,"Planning, Dev & Transportation",20931.75,1986,9b1e09b8188a05bd4cbea0c88060a6054e813ab6
ANSWER CENTER TECHNICIAN,Library District,Library District,20915.39,1987,2367f0bda541ca7afdf8d42fb1a20777f857ecb2
BUS FUELER,Operation Services,Information & Employee Svcs,20912.50,1988,b56da53352def1f151a3b8051b5a5a5bef733fad
NATURAL AREAS-CREW MEMBER,Natural Areas,Community Services,20803.88,1989,d321b59e6504a5e540ad3987c04b3c348ef055b2
UTILITY WORKER/ PARKS,Parks,Community Services,20767.37,1990,6cf29be739eafe3446ea85055978d3fea9cc3ad3
WASTE REDUCT/REC PROG ASST I,Environmental Services,Sustainability Services,20496.65,1991,14f5b1e3528f0f2b6273bcca816775587b3d1b5f
SCALE HOUSE ATTENDANT,Streets,"Planning, Dev & Transportation",20451.91,1992,18980a624b2a24c651b2992ca4100463c76a69ef
EVENTS CONCIERGE,Cultural Services,Community Services,20441.19,1993,0056b3f334b90c1dbffe0a9f9fcc20ac73613cc2
"REP II, CUSTOMER SUPPORT",Utilities Customer Connections,Utility Services,20427.47,1994,0f4a982dd3b061e1d1d1fb59ab4c433c7af9890b
MAINTENANCE HELPER,Operation Services,Information & Employee Svcs,20364.00,1995,55bd1bf9772186fa3cac8679c1501e2dd75e7aa2
BUILDING INSPECTOR,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",20310.00,1996,4620f59f49a394632de64b0fa7199aca2af43fd0
INTERN,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",20263.81,1997,48e2b6162bf88876e346746c29fc4aa93141062c
"REP II, CUSTOMER SUPPORT",Recreation,Community Services,20082.52,1998,82fb3e8eec91afbd1162d62b3351f4340b7a1855
"CREW CHIEF, PARKS",Streets,"Planning, Dev & Transportation",20064.90,1999,cef0677e363552a2a0a1f0bd5d75bdb1ada2d513
PROGRAM COORDINATOR,Recreation,Community Services,19942.88,2000,7b927ed3bc358a64c984ee00e9f4d973167e79c3
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,19895.49,2001,f4e7a8afbbf293c5aaac9d300cf58ae56b83c09f
DEPUTY COURT CLERK II,Municipal Court,Judicial Services,19895.10,2002,35ec23176ec0f6edf0ffa2d0305c090aaa365fc3
POLICE OFFICER,Patrol,Police Services,19802.67,2003,93ac5cbb477ab26ea3f520a89641cc72fcfb5fbf
"SR INSPECTOR, ZONING",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",19557.72,2004,c3e451aa110d13a1a56d920aacb68998023a2ff9
"SUPERVISOR, BLDG & DEV REV",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",19538.62,2005,9e0ce23a07860ab5fb0ee5833a051403b5123c55
WATER SUPPLY OPERATOR,Ut Water Production Div,Utility Services,19500.00,2006,4e865f691b9462972745fdf122bda99833528c2e
"REPRESENTATIVE II, RECREATION",Recreation,Community Services,19450.57,2007,a2ba126d7e37ad509610e4b1c09cc0fade120509
BUSINESS SUPPORT II,Natural Areas,Community Services,19442.91,2008,e937043f3e71c3cc251385d6bf0337fb8ce29c0f
PROJECT MANAGER,Environmental Services,Sustainability Services,19404.00,2009,efc22038bea9c89c12c3b8b04be32872f8e1908f
FIREFIGHTER INTRO - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,19383.18,2010,9af11392dd857a8ccd8ec1fb10127d3c7b4b42d8
FIREFIGHTER INTRO - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,19383.18,2011,9af11392dd857a8ccd8ec1fb10127d3c7b4b42d8
FIREFIGHTER INTRO - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,19383.18,2012,9af11392dd857a8ccd8ec1fb10127d3c7b4b42d8
UTILITY WORKER/ PARKS,Parks,Community Services,19383.02,2013,90a1ec6b510f9272dc7f590aea3d66a607864506
BAILIFF,Municipal Court,Judicial Services,15941.62,2104,9b8fcc46799148511744d6d4fb5c197892e1e73f
COMPLIANCE INSPECTOR,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",19307.73,2014,02b55f82c7ddd981973cd0377a117fdf0a69c90a
NATURAL AREAS-CREW MEMBER,Natural Areas,Community Services,19209.38,2015,97032d21b343182360625969e6565bb83f2a5886
WASTE REDUCT/REC PROG ASST II,Environmental Services,Sustainability Services,19200.00,2016,eaffc13c5cc91705ebd003203228af479312ca56
"OPERATOR I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",19147.15,2017,328cbc03ba62e9e1be4ad5b73cc308917742667a
ASST CIRCULATION SUPERVISOR,Library District,Library District,19136.72,2018,263d1aca39271952d9a49d78b8f8837d1c9a0ab8
CLERICAL AIDE,Recreation,Community Services,19092.95,2019,7740bd8d91486fed330558e4fd885190aa6d197b
LINE GROUNDWORKER,Electric Field Services,Utility Services,19061.23,2020,4fc2957ab3780f2dfdc527f61fa6ddd4a4efcc7c
TICKETING & BRAND DEV MANAGER,Cultural Services,Community Services,19039.36,2021,140e5f7fb70021fe76a1424eea2dd6b8a6ae5f9e
INTERN,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",19020.20,2022,fe8bf6b4c2f4fa54a3b4be739ff8f08ad3d5c4a2
EQUIPMENT OPERATOR/ GOLF,Parks,Community Services,18968.75,2023,ad2a574dfec0e40a750f9e12461edbf44115181d
NATURAL AREAS-CREW LEADER,Natural Areas,Community Services,18949.80,2024,cbcc821b0ea6e8534227bfa9f3cd7aee2fa5e6b3
UTILITY WORKER/ PARKS,Parks,Community Services,18941.63,2025,bb0ee6f58858f71ad1f08b7450dbe87ec07c8fd4
BUSINESS ANALYST,Urban Renewal Authority,Sustainability Services,18890.00,2026,656f0d7c39e7273cc5693159ce4e291500fcf58f
"WORKER II, FLEET",Operation Services,Information & Employee Svcs,18879.55,2027,1af513b1b924dfbf819511b0e639868fc299aa78
FITNESS INSTRUCTOR - 2 HOUR,Recreation,Community Services,18876.00,2028,3b3f4b7ab9829e06e1cc46692f33b400aa7509ca
BIBLIOGRAPHIC SERVICES CLERK,Library District,Library District,18814.14,2029,4c3562339043c797d1ec51620b76c1bb26885515
COMPLIANCE INSPECTOR,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",18706.44,2030,8c0c93c6fbe085e42c33a351fa13ff964e7e9dd3
"OPERATOR I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",18682.93,2031,631cd4585a04f6e900bbdcfeedcd14f4d1681c3a
ADMINISTRATIVE CLERK I,Purchasing,Financial Services,18638.64,2032,85ec8df672d8ac9e606dda56ebc5fca6ecb7f9f6
EQUIPMENT OPER- STRTS/TRAFFIC,Streets,"Planning, Dev & Transportation",18631.48,2033,5ea6b7618298a57d153a8b47904a4664ebaddbf9
RANGE MANAGER,Police Administration,Police Services,18549.72,2034,fc89ce5c2160e48d0ecb4464a2a3064caf1e3a8b
"OPERATOR I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",18510.88,2035,f9664c1ad01e29d131a97a4a9b69fa20f4b86317
UTILITY WORKER- STRTS/TRAFFIC,Traffic,"Planning, Dev & Transportation",18503.00,2036,22e4d7bdd5dfe35c3ce18d17fd4a058fe12806f7
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,18484.86,2037,0c1179cfa509629682e3894efc6ce510898f7972
UTILITY WORKER/ PARKS,Parks,Community Services,18478.26,2038,e511114fbc34e44ec1395d68ac5fc754f87f689b
"COORDINATOR, PROJECT MGMT",City Manager's Office,Executive Services,18476.64,2039,e99c4a47ee3d1da8046ebe41ddf9da6a17e2f70b
DEPUTY COURT CLERK I,Municipal Court,Judicial Services,18371.25,2040,6197ce4cabb86cfe556f0c7a0a9eeb3c3944881f
INTERIM CAPITAL PROJ MANAGER,Ut Water UTL Engineering Div,Utility Services,18370.54,2041,aa8421a335ea8401619878d6c892842f7d80065b
EQUIPMENT OPERATOR/ PARKS,Parks,Community Services,18347.58,2042,18e7ffa9f5c771a628da47c1e800d9b2e0f73296
TRANSPORTATION MAINT WORKER,Transfort / Parking Services,"Planning, Dev & Transportation",18334.31,2043,bdfd576830c9e2937fc8f922363b8d5b9de24661
CLERICAL AIDE,Cultural Services,Community Services,18329.68,2044,f55ae19587de00a0005d20cfeb20da0a018bf1f2
UTILITY WORKER/ PARKS,Parks,Community Services,18306.07,2045,5c499cde9a415b60fa1db6c1adbadb602aa0df9e
UTILITY WORKER/ PARKS,Parks,Community Services,18296.90,2046,0db3c213a935cafc3b7cbfc51b4e9e365caf6672
"OPERATOR I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",18277.24,2047,2020da779faa72065596c2db99267385b5484c1c
PROGRAM ASSISTANT,Environmental Services,Sustainability Services,18258.00,2048,b3df7a48198d02cf20195815ca6119a399a8193b
LINE GROUNDWORKER/HOURLY,Electric Field Services,Utility Services,18245.00,2049,2c1e15b221367ba688c3d3713f9a591b3a9136dd
ADMINISTRATIVE SUPPORT II,Transfort / Parking Services,"Planning, Dev & Transportation",18242.05,2050,9911e370c4bafde8bfdb1e1bf442a124e9a15870
EQUIPMENT OPERATOR/ GOLF,Parks,Community Services,18235.82,2051,7d18fb64508896e4a72503a7fbfc91cf3853875d
INTERLIBRARY LOAN ASSISTANT,Library District,Library District,18163.20,2052,532bc66004d648cdd801124259e9268c67fa8114
SECRETARY,Cultural Services,Community Services,18150.04,2053,cbe841137fcc89451a5cd8dea2c677ca2b019545
UTILITY WORKER/ PARKS,Parks,Community Services,18128.64,2054,181621fde9c39a95dc0540d25d6745f4c0ba560f
PROGRAM ASSISTANT,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",17987.50,2055,67c4918a7820a3aac9517a089f9b5b1be1552377
"TECHNICIAN I, PARKS",Parks,Community Services,17951.48,2056,f5770346c2abdb2bec6e6127b4d6ae01c052d1d3
HORTICULTURIST,Cultural Services,Community Services,17910.09,2057,cef6d684eeb4af2dcc76f1cf5e8a7812895c06d0
"TECHNICIAN I, PARKS",Parks,Community Services,17900.11,2058,109d7ebf826bf9403d50c628eb94e934f36ab47b
WATER UTILITY MAINT OPERATOR,Ut Distribution System Div,Utility Services,17893.91,2059,fa61632bf82757bd214eef7a35225fd0aef28660
EQUIPMENT OPERATOR/ GOLF,Parks,Community Services,17889.27,2060,16f16f7a1296a288a65bb7561e1ba6f4bd1883b5
FIGURE AND FREESTYLE COACH,Recreation,Community Services,17753.60,2061,3a982d1fd79463ce495e9642ed99d999d372f878
INTERN,Engineering,"Planning, Dev & Transportation",17683.02,2062,7c4391ed230d7d7e9562b05d51c4e5f1f4c2e3c1
"SR INSPECTOR, ZONING",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",17668.86,2063,7b7c48966dff2432a817573c002b7aba60ec5054
FACILITY ATTENDANT,Recreation,Community Services,17664.89,2064,7437f92d13a4dd54d42abbb421adad385940092d
ASST CIRCULATION SUPERVISOR,Library District,Library District,17646.66,2065,e5c7c012156d45898d7cf43158b6e23e1ddc05b6
LINE GROUNDWORKER/HOURLY,Electric Field Services,Utility Services,17550.47,2066,4ded35dff5bfa2f9f472fe78505b3aed1a5c7e0c
UTILITY WORKER/ PARKS,Parks,Community Services,17408.86,2067,9a02e6b89969e7503377557a9e15f30342397bff
RISK MANAGEMENT  TECHNICIAN,"Safety, Security, & Risk Mgmt.",Financial Services,17341.00,2068,dc8f95c5914f7489452e1cdc5b2c869944b53561
ADMINISTRATIVE SPECIALIST,Library District,Library District,17317.08,2069,4c2542cc6621d24baba4987dcd4de410b35fb510
UTILITY WORKER/ PARKS,Parks,Community Services,17295.50,2070,dae66baa9642c11c81c2eeafc260f6af040659a5
