Job Title,Department,Earnings,meta_row_index,meta_row_id
LIBRARY AIDE,LIBRARY DISTRICT,9138.22,1863,7645d9b2bd30d4cde0c89527221c7f45d74b64c7
YOUTH INSTRUCTOR,RECREATION,9132.29,1864,43b9f86d795529c78497e0665974150f19464f2d
UTILITY WORKER / WATER,UT WATER METERS DIV,9130.88,1865,b8a850380c74d6c14cb2b504d124f89862d29fcb
EQUIPMENT OPERATOR/ GOLF,PARKS,9112.24,1866,eb2be119eb769698845b1e4adcd5ed40979c5967
ENVIRONMENTAL EDUCATION SPEC,CULTURAL SERVICES,9080.50,1867,bc2e85fe8bea30a7e21ee6ff132d68843503ba09
ELEC DOC / IMAGING TECH,MANAGEMENT INFORMATION SERVICE,9019.76,1868,b1bdb05fca8a9138aa0d0c0476c2e6b19db47639
EQUIPMENT OPERATOR/ PARKS,PARKS,9011.25,1869,89dcd4de576a5b227859ba359c353d0e0cfef0e8
SERVICE SCHEDULE COORD,UT WATER METERS DIV,8991.57,1870,2d476e6a554b38c89e14281ec67d9086bc781a57
FITNESS INSTRUCTOR,RECREATION,8977.50,1871,adfdbbae597d8fc4bf9ff86ce40660858f3cd616
EQUIPMENT OPERATOR/ PARKS,PARKS,8919.75,1872,0ae88922ede9970b9eeff96846b68cb2366691d5
UTILITY WORKER/ PARKS,PARKS,8919.63,1873,c6744f40a0d0e6886308b5aaf1552b4d784eeffc
LIBRARY AIDE,LIBRARY DISTRICT,8916.51,1874,c6909514d82b7e07c6d9d099cf099ca361f0dc68
BUS FUELER,OPERATION SERVICES,8906.38,1875,00e5d36ae4087d479430c3a2c7262cda6c0f4d8e
LIFEGUARD,RECREATION,8882.15,1876,76aadd5d979e20f08980d306c08adfee9933fd9a
CHOREOGRAPHY COACH,RECREATION,8798.19,1877,be196bd3bffab53f132ea21581b4c6b87c7edc58
LIBRARY AIDE,LIBRARY DISTRICT,8789.14,1878,ea2fad2222c0d1ae0322a8f2b11b4bc0de12cfce
AQUATIC MANAGER,RECREATION,8764.83,1879,8372a9c97fdefaa20c3932988029b0ea90ba8a72
POLICE REPORT SPECIALIST,POLICE INFORMATION SERVICES,8763.90,1880,371c7bed89fd033d725d48e6622ac86723d2bcc9
CIVIL ENGINEER,ENGINEERING,8761.50,1881,9b51a2e9bc730247ce6a53d9dfc067e0f79c325a
CLERICAL AIDE,RECREATION,8759.60,1882,8b671f731acbe3e64aa9e3865405856aad9979ae
EQUIPMENT OPERATOR/ GOLF,PARKS,8754.41,1883,89864e7d1aaa1f011dbeed2303ed8ca6bff7cbaa
MAYOR,CITY COUNCIL,8728.94,1884,76dcb15f3f343ae9c68620875e96fad317ed9fb1
UTILITY WORKER/ WATER,UT DRAINAGE SYSTEM DIV,8687.75,1885,06e0ae93904016dfc50c3ce9ca9417efa2dc18ec
CLERICAL AIDE,RECREATION,8683.12,1886,bdaa1ee2a8d6a07cd9194dad690984e8a504013c
FACILITY ATTENDANT,RECREATION,8681.54,1887,7506fb230c7095f8f236f57ba2b56f6f1da06c23
SKATE INSTRUCTOR/GROUP,RECREATION,8615.88,1888,22150604f65285c5267dac431db52b7df21d313d
SUBSTITUTE LIBRARIAN,LIBRARY DISTRICT,8594.45,1889,f3d12758489908ea85d8fb0f70ec78b538a6c31c
FACILITY ATTENDANT,RECREATION,8570.23,1890,687b71afce1729240315bd6662f4584a3776f89f
PARKING ATTENDANT,PARKING,8560.99,1891,f0d2f1587c2e620a626437a58a62c69e07912174
ENVIRONMENTAL EDUCATION SPEC,NATURAL AREAS,8417.25,1892,f98ac667807e211d6f4c43446081d3c2cf55f9d9
CLERICAL AIDE,RECREATION,8404.66,1893,bed6e22e0d78ccf10bda764b186e5d447eaef191
EQUIPMENT OPERATOR/ PARKS,PARKS,8404.61,1894,9a65777818f930d6f3d88445e9382e04ec747a17
BAILIFF,MUNICIPAL COURT,8359.09,1895,14f29dee2b56a03c76ff8f57c1e0caebbb9ef220
LIBRARY AIDE,LIBRARY DISTRICT,8343.21,1896,388e63a04c831fb1005ce2ff2b77840dae976958
SECRETARY,OPERATION SERVICES,8321.50,1897,ab40ffce98b5a3b107a560ba668162094321c2fd
ENERGY SVCS PROG COORD-INACTIV,UTILITY CUST. & EMP. RELATIONS,8300.00,1898,e6969d0095a28a5ed41e68b97e696c86e5fef686
LIBRARY AIDE,LIBRARY DISTRICT,8279.52,1899,25f0f5cb65b17b602c30976e12c949e3c320e9ea
INTERN,ENGINEERING,8226.00,1900,802180ce6af5f8eeb3f7448ab7ce650e93d38455
LIBRARY AIDE,LIBRARY DISTRICT,8209.28,1901,e72bf3aff194b62be5a7346a7d3bf70ae2945b44
LIBRARY AIDE,LIBRARY DISTRICT,8203.95,1902,d12d7ec209287be633c0c5ba0bdf117c0efc8df9
ENERGY SVCS PROG COORD-INACTIV,UTILITY CUST. & EMP. RELATIONS,8200.00,1903,4ba14e6966c6a3a6673271400035db0270c080fc
UTILITY WORKER / WATER,UT DISTRIBUTION SYSTEM DIV,8169.25,1904,04f3b3c015b3f325821c0f95766e066dfa99428e
COUNCILPERSON,CITY COUNCIL,8160.00,1905,804aae51067a8143895886d3e029e45abe191be8
COUNCILPERSON,CITY COUNCIL,8160.00,1906,804aae51067a8143895886d3e029e45abe191be8
COUNCILPERSON,CITY COUNCIL,8160.00,1907,804aae51067a8143895886d3e029e45abe191be8
COUNCILPERSON,CITY COUNCIL,8160.00,1908,804aae51067a8143895886d3e029e45abe191be8
COUNCILPERSON,CITY COUNCIL,8160.00,1909,804aae51067a8143895886d3e029e45abe191be8
EQUIPMENT OPERATOR/ GOLF,PARKS,8137.00,1910,49b606e51db779f1a12da6e9b1be97a221e35ea8
LIFEGUARD/INSTRUCTOR,RECREATION,8074.44,1911,9c34459ebcb628e9f06a91b0e825118bdf98324a
FIGURE AND FREESTYLE COACH,RECREATION,8044.92,1912,25d0a21eac334304c1b6ff1c99a9b2f5beadeb5b
EQUIPMENT OPERATOR/ PARKS,PARKS,8040.20,1913,a2ece3c4d728e6bd2b2fe0f013778f88882f9a06
EQUIPMENT OPERATOR/ PARKS,PARKS,8027.20,1914,e08f60085e9b31bf1fec9faf5d82fdb27ce6d3dc
YOUTH INSTRUCTOR,RECREATION,8016.50,1915,5d2608b0828d746975482b6e3a30433783f260d1
